model,N_total,N_valid,N_unknown,accuracy,precision,recall,f1,mcc,TN,FP,FN,TP,mean_latency_sec,total_inference_min
Qwen2.5-VL-3B Base,500,500,0,0.774,0.9659863945578231,0.568,0.7153652392947103,0.6014154034945092,245,5,108,142,0.1427997758090496,1.18999813174208
Qwen2.5-VL-3B + LoRA,500,500,0,0.994,0.9959839357429718,0.992,0.9939879759519038,0.9880079040948493,249,1,2,248,0.12935371620953082,1.0779476350794235
LoRA - Base,,,,0.21999999999999997,0.029997541185148746,0.42400000000000004,0.2786227366571935,0.3865925006003401,,,,,-0.013446059599518778,
